Crops,,1989–90,1990–91,1991–92,1992–93,1993–94,1994–95,1995–96,1996–97,1997–98,1998–99,1999–00,2000–01,2001–02,2002–03,2003–04,2004–05,2005–06,2006–07,2007–08,2008–09,2009–10,2010–11,2011–12,2012–13,2013–14,2014–15,2015–16,2016–17,2017–18,2018–19,2019–20,2020–21,2021–22,2022–23 s,2023–24 s,2024–25 f
Production,kt,772,758,1 047.4,1 195.0,1 479.7,1 076.2,1 559.0,1 521.9,1 560.3,1 694.9,1 967.8,1 055.3,1 213.7,725.9,1 180.7,936.9,1 285.0,470.3,661.9,707.8,822.6,807.7,981.5,458.7,625.6,549.1,651.9,1 031.4,714.3,798.6,591.1,865.6,957.5,1 100.8,610.8,778
Oats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,'000 ha,1 088.7,1 044,1 160.1,1 149.1,947.3,896.6,1 136.2,1 051.7,936.6,908.9,583.6,650.4,784,911.4,1 089.2,893.6,930.3,999.5,1 237.8,870.2,850,826,731.1,728.6,714.7,854.4,821.5,1 027.9,874.1,938.1,816,1 069.9,842.4,745,677.7,712
Production,kt,1 640,1 530,1 689.8,1 936.4,1 646.5,924.1,1 874.8,1 652.8,1 634.3,1 798.2,1 117.7,1 049.7,1 433.5,957,2 017.9,1 282.4,1 688.0,748.3,1 502.3,1 160.0,1 161.5,1 127.7,1 262.0,1 121.1,1 254.7,1 198.0,1 299.7,2 265.5,1 227.4,1 134.6,1 142.9,1 898.0,1 734.9,1 587.4,1 021.1,1 311.0
Triticale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,'000 ha,91.3,104,101,122,129.2,153.4,221.1,346.3,366.4,385.8,358,389.4,408.9,407.6,445.5,389.3,391.8,368.5,359.7,322.8,349.7,187.2,144.6,99.2,79.9,81.5,78.4,61.6,55.5,48.4,72.8,96.2,61.9,57,53.9,52
Production,kt,164,189,177.3,282.5,262.8,181.6,468.5,673.8,632.5,706.9,764.1,841,859.7,327,825.9,610.1,829.8,199.3,450,362.8,545,355.1,284.6,171.2,125.6,143,127.4,149.9,87,59.5,76.9,170.8,117.2,113.7,82.7,83.7
Summer crops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain sorghum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,'000 ha,376.1,376,567.2,426.2,498.4,686.1,770.4,543.8,506.5,584.9,621.8,757.4,820.2,666.5,733.9,754.9,766,613,941.3,766.9,497.9,633.1,658.3,646.7,532,732.7,520.6,367.9,462.2,550.3,204.2,572.6,621.5,687.1,592.1,570
